character_name,traits,category,traints
linda hunt,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
susana abaitua,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
seda tosun,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
pruitt taylor vince,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
michael j. fox,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
darby camp,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
vivian sung,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rico rodriguez,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mammootty,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
oscar kennedy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
oh na-ra,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ian hyland,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
burcu biricik,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
park so-jin,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
stefania lavie owen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
frances de la tour,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
juliet aubrey,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mackenzie crook,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kaitlyn leeb,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jake lacy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
steven anthony lawrence,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
amy morton,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
james gammon,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jung yi-seo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sydney tamiia poitier,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
max schimmelpfennig,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mouna traoré,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tim mcinnerny,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
michael gaston,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lois maxwell,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mia mckenna-bruce,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mira sorvino,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
oliver hudson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jack o'connell,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
wings hauser,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
anthony ramos,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kelvin harrison jr.,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
wan qian,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jamie hector,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
violante placido,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
david hemmings,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ohm pawat chittsawangdee,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
bill camp,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
arliss howard,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
wanda cannon,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
